advertiser_id,advertiser_name,total_spend_usd,total_creatives,maximum_impressions,total_day
AR02395545978171031553,DAVID SHAPIRO FOR CONGRESS,7600,23,251000,637
AR02400894002728534017,"THE FOUNDATION FOR CONSTITUTIONAL GOVERNMENT, INC.",13800,49,16486000,3615
AR02403528432588685313,Chadwick Smith,5300,3,185000,49
AR02404637015187390465,Rhetta A. Bowers,3200,3,33000,84
AR02409901201983275009,ELIJAH MANLEY 2020,2600,31,316000,896
AR02414404801610645505,BECCA PECK,6600,11,206000,106
AR02416033453209288705,ELECT ELIZABETH FERGUSON,200,3,3000,48
AR02418908401238016001,"JOHN WARD FOR CONGRESS, INC.",13000,3,185000,170
AR02423276760935170049,FRIENDS OF DANNY RAMPEY,700,6,11000,76
AR02423412000865386497,AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS (AFL-CIO),23200,21,2320000,263
AR02425528560748855297,ADVANCING CONSERVATIVE VALUES INC,1100,3,12000,87
AR02432419200120127489,OUR VOICE OUR VOTE ARIZONA,1900,2,130000,21
AR02433910412765298689,"CLEARPATH ACTION FUND, INC.",398600,831,97210000,54265
AR02436922799747497985,C SUZAN BELL 2019 STATE HOUSE CAMPAIGN,6900,4,1330000,615
AR02440265315095937025,Common Sense Voters for Danelle Dodge,3200,8,203000,354
AR02441426399374868481,FORD FOR FLORIDA,400,4,4000,233
AR02444180950880354305,COLLINS FOR TEXAS,33800,96,10472000,10036
AR02449589173699477505,FUEGER 2020 FOR STATE ASSEMBLY,5800,2,725000,8
AR02450433598629609473,AUDREY DENNEY FOR CONGRESS,14800,10,1855000,129
AR02454937198256979969,OHIO CD-04 WATCH,6000,3,410000,411
AR02459440797884350465,COMMITTEE TO ELECT JEFF BURKHART,5700,1,50000,9
AR02467603572208959489,ELISSA SLOTKIN FOR CONGRESS,141300,50,4427000,2624
AR02470699796952776705,CITIZENS FOR GIANNOULIAS,93200,39,9774000,673
AR02472951596766461953,FRIENDS OF DON V,6200,14,865000,118
AR02476694609225318401,KATHLEEN HARDER FOR CONGRESS,3700,3,308000,51
AR02477455196393832449,FEGAN FOR CONGRESS,3200,24,273000,509
AR02480072308945846273,POLIS FOR COLORADO,8400,2,16000,40
AR02481958796021202945,BRIAN PINKSTON FOR CITY COUNCIL,1700,7,159000,167
AR02485617970718441473,MARK BAKER CAMPAIGN,6100,4,18000,189
AR02486462395648573441,KATE BROPHY MCGEE AZ - SENATE,61900,41,9621000,476
AR02486965147340374017,PETE AGUILAR FOR CONGRESS,117300,28,6886000,587
AR02488714195462258689,MATT JACOBS FOR CONGRESS,13400,85,509000,4130
AR02490965995275943937,ESMERALDA SORIA FOR CONGRESS,1700,2,17000,33
AR02491956655252570113,DAVE NICPONSKI,400,2,2000,2
AR02495469594903314433,DAVID MAC MCCALLISTER CAMPAIGN,3300,5,44000,137
AR02499973194530684929,CITIZENS FOR MEGAN THOMPSON,200,4,39000,66
AR02504476794158055425,CITIZENS FOR MAZZOCHI,19100,77,6820000,1875
AR02505467454134681601,Bilal Hammoud for Michigan,100,1,1000,11
AR02508980393785425921,FINANCE COMMITTEE FOR THOMAS OH,6400,5,260000,165
AR02513483993412796417,PUTNAM FOR CONGRESS,2800,29,39000,485
AR02517143168110034945,INDIANA DEMOCRATIC PARTY,3700,7,40000,134
AR02517227005871652865,Norton for Congress,177400,103,10570000,1843
AR02526994792294907905,CATHOLICS FOR AMERICA INC,6500,16,693000,578
AR02531863704660606977,FOCUS ON WHITPAIN,0,1,1000,1
AR02540304655427043329,DISANTO FOR SENATE,24900,11,236000,435
AR02540505591177019393,"ACCOUNTABLE NEW YORK, INC.",7300,3,1475000,17
AR02548351706152828929,Ajwang for Congress,29700,3,543000,109
AR02549512790431760385,DROP MELI LLC,5100,7,94000,40
AR02553255802890616833,MICHAEL FLOYD FOR PRESIDENT,300,2,2000,2
AR02554016390059130881,EXPLORATORY COMMITTEE FOR JOHN COX FOR GOVERNOR 2022,12800,5,956000,56
AR02558519989686501377,BRANDON CHAFEE,1700,5,163000,92
AR02560771789500186625,COMMONWEALTH FORWARD,6500,14,240000,122
AR02563023589313871873,WASHINGTON DIGITAL MEDIA,300,2,10000,12
AR02566766601772728321,Friends of Megan Sullivan,4900,1,700000,4
AR02567527188941242369,BECKER FOR CONGRESS,300,5,5000,194
AR02575689963265851393,CUBBLER FOR CONGRESS,1800,4,26000,67
AR02581037987823353857,PEOPLE 4 JAN,4900,154,755000,1244
AR02585541587450724353,DEB FISCHER FOR US SENATE INC,2600,2,10000,98
AR02586704870752911361,LORI CHAVEZ-DEREMER FOR CONGRESS,18000,11,1493000,234
AR02587123784683094017,IZAAH KNOX FOR IOWA SENATE,5000,5,172000,61
AR02590045187078094849,RAY SANCHEZ FOR CD 7,200,5,16000,66
AR02593704361775333377,"AMERICAN ADVANCEMENT, INC.",146500,6,9967000,100
AR02594548786705465345,PATRICIA LOCK DAWSON FOR MAYOR 2020,5700,4,229000,190
AR02599052386332835841,ADAM SCHLEIFER FOR CONGRESS,26800,65,177000,1912
AR02608059585587576833,OKLAHOMA DECIDES INC,40900,2,3000000,28
AR02611718760284815361,LASHAR FOR CONGRESS,7500,19,323000,782
AR02612563185214947329,"SHEA ROBERTS FOR GEORGIA, INC.",3600,5,23000,141
AR02614814985028632577,Theo Theologis For Supervisor,5800,4,82000,74
AR02617066784842317825,SAVE THE CHILDREN ACTION NETWORK INC,4700,6,107000,450
AR02620809797301174273,ALEX MEALER FOR HARRIS COUNTY JUDGE,500,1,8000,15
AR02621429646981332993,ELIZABETH PANNILL FLETCHER FOR CONGRESS,137200,62,4426000,2727
AR02621570384469688321,MAKING WEB LLC,5200,14,1497000,171
AR02626073984097058817,IHSSANE FOR CONGRESS,41000,75,11662000,836
AR02629733158794297345,AMERICANS UNITED FOR VALUES,31000,31,15005000,377
AR02630577583724429313,DANIEL CEISLER,2400,2,3000,65
AR02632829383538114561,Committee to Elect Mark Scheffler,6900,37,676000,1003
AR02635081183351799809,POSTMATES INC.,203600,5,121000,45
AR02636709834950443009,"TEAM GRAHAM, INC.",5685600,1895,119224000,68325
AR02641982817839349761,Eric Guerra for Assembly 2022,6000,4,655000,176
AR02644008118257713153,Swain for Congress,13700,6,1225000,126
AR02647747557303779329,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,25900,12,1120000,146
AR02648591982233911297,NANCY MACE FOR CONGRESS,168300,149,5864000,2310
AR02649428710582648833,MARY SOUZA FOR IDAHO SOS,5400,1,200000,14
AR02653095581861281793,"FRIENDS OF TODD YOUNG, INC.",8700,33,4483000,315
AR02656754756558520321,PRIORITIES USA ACTION,474800,363,27606000,6226
AR02657599181488652289,REP. TJ COX - U.S. HOUSE OF REPRESENTATIVES,21800,183,4484000,2423
AR02661342193947508737,Oh Ya! Marketing INC,900,14,65000,134
AR02665761955813261313,CINDY AXNE FOR CONGRESS,216300,52,9969000,1141
AR02666606380743393281,AMERICAN FEDERATION FOR CHILDREN PAC INC,25100,13,1159000,320
AR02668858180557078529,Friends of Meridth Hammer,10300,21,2289000,1992
AR02671109980370763777,MICHAEL LAPAGLIA COMMITTEE,7500,16,3407000,213
AR02672100640347389953,JOSH NEWMAN FOR SENATE 2020,1300,14,16000,620
AR02675613579998134273,COUNTY OF KAUAI,3100,15,21000,95
AR02680117179625504769,"CONCERNED CONSERVATIVES, INC.",2200,2,15000,60
AR02682871731130990593,SCHUPP FOR CONGRESS,79900,30,2986000,1128
AR02687237891804889089,CINDY HYDE-SMITH FOR US SENATE,44700,146,5666000,2773
AR02689124378880245761,LINEHAN FOR LEGISLATURE,6500,6,65000,160
AR02693627978507616257,"UNICORN WEALTH, LLC",265300,384,149556000,4341
AR02697370990966472705,Erik M Leist,100,1,1000,69
AR02698131578134986753,WINSOME SEARS FOR LT GOV,3500,2,4000,105
AR02701790752832225281,CAMPAIGN TO ELECT MELANIE LEVESQUE STATE SENATE,8100,3,196000,42
AR02701848477192683521,Boucher for State Senate,800,5,19000,48
AR02704886977576042497,BROWN FOR BUFFALO,600,1,150000,13
AR02706817719994417153,Coder for Congress,600,16,16000,378
AR02707138777389727745,JOHN KINGSTON FOR SENATE INC,46200,237,2443000,5494
AR02711642377017098241,HOUSE MAJORITY FORWARD,498900,65,40646000,885
AR02715385389475954689,ROSEN FOR NEVADA,514600,262,23194000,7031
AR02719805151341707265,RESOURCE MEDIA A NONPROFIT CORPORATION,13300,249,942000,5963
AR02720494545132322817,Elect Robin Litaker Alabama Public Service Commission,1300,6,125000,7
AR02725153175899209729,MARKET INSTITUTE FOUNDATION,5300,15,977000,62
AR02726644388544380929,RASHIDA TLAIB FOR CONGRESS,13500,19,1111000,284
AR02729656775526580225,GEORGIA LIFE ALLIANCE COMMITTEE INC,8100,28,55000,212
AR02734160375153950721,STEVE FANELLI FOR CONGRESS,1300,3,4000,125
AR02736777487705964545,Powers Interactive Digital,8000,7,51000,239
AR02738663974781321217,LUCY LANG FOR NY INC,6900,3,12000,185
AR02740915774595006465,MAGGIE FOR NH,175400,2,340000,801
AR02743167574408691713,BYRON DONALDS FOR CONGRESS,21600,27,1389000,286
AR02747572767745376257,OUR VOICE OUR VOTE ARIZONA PAC,1500,1,175000,17
AR02747671174036062209,VIRGINIANS FOR COMMON GOOD,1900,1,8000,10
AR02748661834012688385,DANIEL ZOLNIKOV,5800,12,80000,489
AR02749162386681233409,Robertson for Congress,10500,62,1043000,1193
AR02752174773663432705,ARATI FOR CONGRESS,11200,10,1168000,92
AR02755833948360671233,"ANDREW CUOMO 2018, INC.",166800,47,1803000,814
AR02756678373290803201,"NUCLEARBAN.US, INC.",200,8,8000,14
AR02758930173104488449,LUCAS KUNCE FOR MISSOURI,38800,26,163000,1092
AR02761181972918173697,RED WAVE MOVEMENT,4000,1,10000,22
AR02770189172172914689,PEDRO BIAGGI,1300,1,15000,3
AR02773848346870153217,EDF ACTION VOTES,206900,13,13900000,277
AR02774418993404968961,"BEN CLINE FOR CONGRESS, INC.",2600,1,9000,32
AR02774692771800285185,"FUTURE45, INC.",29100,15,2611000,95
AR02776944571613970433,TAHANIE FOR NEW YORK,29800,4,1650000,140
AR02783699971055026177,AMY FOR AMERICA,2583100,347,21914000,26403
AR02791862745379635201,FRIENDS OF MICHAEL NEGRON,1900,1,9000,70
AR02797210769937137665,OPTIMIZE MARKETING AND MEDIA LLC,700,1,7000,41
AR02801714369564508161,FRIENDS OF FELIX W ORTIZ,15900,79,1475000,903
AR02804468921069993985,COLLEEN MORELLI,200,1,2000,33
AR02810721568819249153,MEDINA FOR STATE SENATE 2020,19700,24,3266000,70
AR02812350220417892353,FRIENDS OF MELOYDE BLANCETT,3400,31,760000,665
AR02815225168446619649,IRONSIDE PRESS,11500,115,899000,4241
AR02815590481184948225,Helena for RI,16800,17,55000,1827
AR02816215828423245825,KARYN MAYNARD,5500,14,366000,96
AR02819728768073990145,EDMUND BURKE FOUNDATION INC,5100,21,63000,75
AR02823471780532846593,Committee to Elect Dan Leonard,800,1,2000,126
AR02824232367701360641,LYONS 4 AZ,1500,1,35000,121
AR02827891542398599169,COMMITTEE TO ELECT JARED GOLDEN,79400,94,4077000,1008
AR02828644707863625729,JEFF MCKAY FOR SENATE 2022,9100,2,1300000,19
AR02828735967328731137,LIUNA MINNESOTA & NORTH DAKOTA/LABORERS' DISTRICT COUNCIL OF  MINNESOTA & NORTH DAKOTA,5100,47,47000,280
AR02831353079880744961,Pennsylvania Senate Democratic Campaign Committee,3000,3,375000,18
AR02836179661048774657,Hess For Oregon,7300,8,39000,167
AR02838733826560098305,DIANE BLACK FOR GOVERNOR,204600,308,10254000,3800
AR02845905940908081153,LALOTA FOR CONGRESS,1400,4,4000,51
AR02846750365838213121,FRIENDS OF JULIE CIANCA,5300,4,276000,38
AR02849002165651898369,COMMITTEE TO ELECT SONIA CHANG-DÍAZ,11700,4,14000,287
AR02851253965465583617,"DATA GENOMIX, INC.",20500,574,7978000,17509
AR02863920339417563137,STECK FOR ASSEMBLY,3600,2,40000,46
AR02869268363975065601,HERITAGE FOUNDATION,5900,2,7000000,68
AR02870897015573708801,KATE FOR CONGRESS,18700,18,886000,401
AR02874137276340764673,Save Our Healthcare INC,295900,75,18697000,938
AR02875400615201079297,CAMPAIGN FUND OF JON OLSON FOR MN SENATE,8100,1,350000,19
AR02881934737927045121,ALAINA SHEARER FOR CONGRESS,35400,98,2254000,952
AR02882779162857177089,PERDUE FOR SENATE,298400,43,1630000,724
AR02887282762484547585,STEPHANI WOODWARD CAMPAIGN,1000,13,70000,107
AR02890625277832986625,NANCY PELOSI FOR CONGRESS,503200,40,12037000,2776
AR02891786362111918081,CORY GARDNER FOR SENATE,268600,16,1050000,1057
AR02896289961739288577,CAMPAIGN FUND OF DEAN SCHAMORE,9400,62,2358000,742
AR02899949136436527105,PENNSYLVANIA EDUCATIONAL COMMUNICATIONS SYSTEMS,6200,4,614000,152
AR02905297160994029569,MARISOL RUBIO FOR SENATE 2020,400,20,21000,221
AR02905662473732358145,Cadence Concepts LLC,6700,12,521000,100
AR02909800760621400065,KAHELE FOR CONGRESS,12300,1,125000,405
AR02914304360248770561,COMMITTEE TO ELECT JOHN GLEASON,5200,10,954000,92
AR02914807111940571137,NEW FLORIDA MAJORITY,7900,5,44000,40
AR02917963534946009089,IXNAY PAC,5200,26,285000,1232
AR02918807959876141057,BRADY PAC,21900,10,1135000,106
AR02923311559503511553,CONNOR FOR MARICOPA,100,3,10000,122
AR02927815159130882049,FRIENDS OF CHUCK DIETZEN,4800,7,231000,183
AR02929443810729525249,FRIENDS FOR PATRICIA ACKERMAN,51600,52,2908000,571
AR02935977933455491073,ROHRABACHER FOR CONGRESS,77300,2,105000,55
AR02936822358385623041,KAREN BASS FOR CONGRESS,5100,5,7000,32
AR02937350123966955521,Committee to Elect Tracey L Koellisch,6200,34,1166000,646
AR02939576909891108865,SHANNON 4 CONGRESS COMMITTEE,16100,12,42000,456
AR02940394671664267265,Friends of Lombardi,100,5,5000,11
AR02943943070565007361,BARRON CASTEEL CAMPAIGN,8700,4,63000,97
AR02944985132710232065,PATIENTS FOR AFFORDABLE DRUGS ACTION,55800,30,3096000,820
AR02945068970471849985,TEAM ORTAGUS,5700,4,26000,100
AR02945829557640364033,SERGIO FOR GOVERNOR,400,5,5000,32
AR02949572570099220481,"PIC 2021, Inc.",245300,40,9591000,312
AR02950333157267734529,TINA POLSKY CAMPAIGN,19400,22,3759000,551
AR02952327671360520193,DAVID TRONE FOR CONGRESS,21100,6,1890000,82
AR02953992331964973057,"YES ON J: RE-IMAGINE L.A. COUNTY, A COALITION OF NONPROFIT ORGANIZATIONS AND JUSTICE ADVOCATES",97000,22,15410000,334
AR02954836756895105025,"WEVOYCE, INC",5100,104,212000,231
AR02955202069633433601,Coalition to Grow San Francisco - Grow SF PAC,79600,5,809000,105
AR02956465408493748225,YELLOWFIN DIGITAL,11800,10,1495000,284
AR02959340356522475521,RENEE SWANN FOR CONGRESS,3800,11,191000,418
AR02960331016499101697,Friends of Mike Kelly,11600,5,774000,83
AR02965335168795017217,DARRIN CAMILLERI FOR STATE SENATE,2700,2,100000,118
AR02968347555777216513,MIKE GALLAGHER FOR WISCONSIN,11000,20,2615000,269
AR02971102107282702337,ONE NATION,2572200,277,160769000,1918
AR02972006730474455041,KOS MEDIA LLC,713800,279,159095000,13829
AR02976653266613436417,Illinois Policy Institute,1600,1,15000,3
AR02977354755031957505,LISA SONG SUTTON FOR CONGRESS,2900,3,21000,174
AR02981858354659328001,YES ON 22 - SAVE APP-BASED JOBS & SERVICES,7168100,310,110546000,9249
AR02983487006257971201,COLIN LARSON,2900,4,18000,95
AR02990021128983937025,COMMITTEE TO ELECT JOANNE M BROWN FOR SENATOR,5100,6,12000,35
AR02993117353727754241,NEBRASKANS FOR CAROL BLOOD,6500,21,80000,310
AR02995734466279768065,FRIENDS OF JAZZ LEWIS,1200,1,3000,26
AR02999872753168809985,ROB BARRETT FOR SENATE,600,2,32000,17
AR03003615765627666433,Dawn C. Buckingham,9200,2,130000,41
AR03008035527493419009,THE PARKSIDE GROUP LLC,11200,3,645000,17
AR03008879952423550977,VOTE LIZ HARRIS,2000,4,145000,90
AR03013383552050921473,MICHIGAN FREEDOM NETWORK,3000,14,36000,186
AR03017887151678291969,THE ACTION PAC,5200,4,20000,54
AR03018092760352686081,BLAKE MOORE FOR CONGRESS,500,9,10000,65
AR03021411086445314049,Sabbath Lafleur,3200,2,7000,47
AR03026049926002900993,"NO ON PROP 21: CALIFORNIANS FOR RESPONSIBLE HOUSING, A COALITION OF SENIORS, VETERANS, AFFORDABLE HOUSING ADVOCATES, LABOR & SOCIAL JUSTICE ORGANIZATIONS, SPONSORED BY CALIFORNIA APARTMENT ASSOCIATION",187600,37,4796000,722
AR03026894350933032961,MACCO FOR WISCONSIN,1900,48,151000,297
AR03029146150746718209,CHERMAK FOR PA,2800,11,265000,221
AR03031397950560403457,FRIENDS OF KIMBERLY DUDIK,500,3,3000,44
AR03035901550187773953,FRIENDS OF TOBIAS READ,52100,9,5400000,82
AR03036102211059843073,Equality Michigan Action Network,2800,2,128000,28
AR03040405149815144449,"SURGE DIGITAL MEDIA, LLC",2100,3,7000,17
AR03043159701320630273,"UNITED WE DREAM NETWORK, INC.",15000,37,857000,245
AR03044064324512382977,TJ COX FOR CONGRESS,138400,50,13164000,1103
AR03044908749442514945,COMMITTEE TO ELECT STEVE CHRISTIANSEN,100,5,5000,76
AR03046561315419062273,Hysell for Assembly,1000,2,3000,48
AR03053915948697255937,STUCK FOR CONGRESS,5300,9,11000,530
AR03058419548324626433,CAROLINE COLARUSSO FOR CONGRESS,17400,15,5884000,497
AR03062078723021864961,HARI TITAN,5000,6,44000,329
AR03062923147951996929,JOHNSON-HERTERICH,100,1,1000,20
AR03063082577138024449,Jessica Moore,800,4,47000,36
AR03065174947765682177,"AMERICAN MOMENT, INC.",5700,7,255000,102
AR03067426747579367425,CONSERVATIVE TRIUMPH FUND,113200,50,5058000,2691
AR03067792060317696001,KATIE DEAN FOR CONGRESS,4700,76,157000,656
AR03071930347206737921,REP. STENY HOYER - U.S. HOUSE OF REPRESENTATIVES,6600,1,25000,354
AR03076433946834108417,REP. HENRY CUELLAR - U.S. HOUSE OF REPRESENTATIVES,16600,20,2525000,2778
AR03078830882182660097,Morgan Abraham for Arizona,13900,2,400000,112
AR03080093121531346945,YJL MEDIA LLC,5200,11,1889000,75
AR03080937546461478913,GUN OWNERS ACTION FUND,27200,4,1325000,53
AR03083877640554151937,Debbie Critchfield,2300,1,9000,13
AR03085441146088849409,VOTERS FIRST WISCONSIN INC,400,1,90000,13
AR03089944745716219905,ONEALASKA,138500,38,10650000,800
AR03090935405692846081,MEDICARE FOR ALL,4600,1,8000,41
AR03094448345343590401,VICTIMS OF VIOLENT CRIME FOR THE RECALL OF DISTRICT ATTORNEY GASCÓN,100,1,1000,1
AR03098107520040828929,TERRIE E. WOOD,1400,3,18000,87
AR03100580596569604097,LUCIO VALDEZ,22500,3,1250000,32
AR03101203744784646145,CATHOLICVOTE.ORG CANDIDATE FUND,5100,2,80000,16
AR03111702156684558337,ANDY KIM FOR CONGRESS,105300,167,4538000,5145
AR03112462743853072385,PEACEHEALTH,6600,1,30000,7
AR03116121918550310913,COMMUNITY ISSUES PROJECT,1900,1,125000,3
AR03116966343480442881,CHARLESTON FOR CONGRESS,1500,35,121000,187
AR03121469943107813377,NATIONAL IMMIGRATION FORUM,7300,3,193000,100
AR03124812458456252417,OKPA FOR CONGRESS,1600,7,128000,33
AR03125973542735183873,JEFF MOORE FOR NC HOUSE,5200,26,1751000,845
AR03129716555194040321,LISA MURKOWSKI FOR US SENATE,113400,4,560000,908
AR03134136317059792897,COLEMAN FOR CITY COUNCIL 2020,600,2,32000,71
AR03134980741989924865,STANLEY E ALBAUGH,5200,6,273000,41
AR03136609393588568065,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,17424600,8811,852671000,107307
AR03137029132152471553,Republican Party of Orange County (State Acct.),8500,2,850000,11
AR03139484341617295361,SCOTT WALLACE FOR CONGRESS,48400,20,502000,401
AR03143227354076151809,NEVADA STATE DEMOCRATIC PARTY,2200,34,44000,356
AR03148994292563836929,THE COMMITTEE TO ELECT TARAH TOOHIL,3400,2,105000,32
AR03152150715569274881,MINER/VOLPE FOR NY,5300,6,17000,18
AR03152995140499406849,MN DFL STATE CENTRAL COMMITTEE,4300,15,2680000,105
AR03156519075266428929,Amy Phan West For Congress,5800,1,20000,60
AR03157498740126777345,JOHN SCHIFINO FOR CIRCUIT COURT JUDGE,8400,2,105000,124
AR03162002339754147841,GEORGE W. HINDMAN FOR CONGRESS,6300,36,51000,1863
AR03162367652492476417,DEB FISCHER FOR US SENATE INC,67200,85,32982000,2519
AR03163082609928437761,Jane Poston,3600,37,157000,364
AR03166356955555954689,COMMITTEE TO ELECT KORY 4 DOUG CO,5500,1,9000,23
AR03166505939381518337,JUSTIN BURAU FOR CONGRESS,500,28,125000,85
AR03170165114078756865,COMMITTEE TO ELECT CHRISTY CLARK,27000,3,1275000,40
AR03171009539008888833,JEANETTE FOR SENATE 25,135900,48,16885000,1495
AR03173261338822574081,NEW YORKERS FOR VANESSA L. GIBSON,20000,83,2816000,3407
AR03178267690141745153,BELAL AFTAB FOR SARATOGA CITY COUNCIL 2020,2000,1,50000,13
AR03182758920263303169,Homebound Entrepreneurs Against DeWines - HEAD,1100,2,4000,9
AR03183327367774863361,Rob Bonta for CA Attorney General 2022,227200,5,7470000,104
AR03186011550536171521,DELUZIO FOR CONGRESS,5700,5,69000,87
AR03188179512588238849,RICK GREEN FOR CONGRESS,40500,147,5693000,3680
AR03189023937518370817,EMILY's List,110700,400,2175000,7988
AR03191275737332056065,TRESLYN PATTERSON,5100,1,35000,80
AR03193527537145741313,FUTURE45,18000,2,2200000,8
AR03197270549604597761,Pro-Israel America United,16400,4,925000,108
AR03198031136773111809,BRYNNE KENNEDY FOR CONGRESS,82900,100,6057000,2455
AR03202534736400482305,COMMITTEE TO ELECT CHIP NEIMAN TO HOUSE DISTRICT 1,4000,13,139000,138
AR03206193911097720833,"YES ON PROP 25, A COALITION OF JUSTICE REFORM AND LABOR ORGANIZATIONS",160600,14,7405000,312
AR03209290135841538049,Better Nevada,5100,6,12000,171
AR03211541935655223297,ROBERT CROOK FOR CONGRESS,700,31,68000,345
AR03216045535282593793,HOTEL WORKERS FOR STRONGER COMMUNITIES,5600,16,458000,89
AR03224208309607202817,FRIENDS OF CHRIS MISSICK,3600,5,339000,232
AR03227844806877118465,TEXAS PUBLIC POLICY FOUNDATION,6400,10,513000,240
AR03229556334164705281,DOLAN FOR MISSOURI,7000,5,424000,41
AR03233125348908466177,MCCARTHY FOR TEXAS,3100,3,204000,69
AR03237719108489314305,ALLIANCE FOR A BETTER MINNESOTA ACTION FUND,1337500,2284,45691000,40665
AR03242222708116684801,FAITH IN MINNESOTA,11200,3,428000,24
AR03245318932860502017,WASHINGTON STATE REDISTRICTING COMMISSION,13000,11,793000,88
AR03247570732674187265,WICKER FOR SENATE,25500,281,1922000,4374
AR03256577931928928257,NEW YORKERS FOR TALI,26200,8,1895000,124
AR03258824234184474625,BORICUA VOTA INC.,28200,3,7675000,17
AR03260237106626166785,WENDYROGERS.ORG,60400,10,1359000,151
AR03261081531556298753,YES FOR UNION CITY PUBLIC SAFETY MEASURE U,600,4,4000,35
AR03263333331369984001,2A Patriot PAC,3600,1,225000,236
AR03265587330206924801,Tony for New York,300,1,1000,41
AR03270088730811039745,"NRDC ACTION FUND INC., PAC",700,7,7000,161
AR03273831743269896193,Dave McCormick For US Senate,230900,15,793000,503
AR03274592330438410241,COMMITTEE TO ELECT BRIAN EPPERSON SMUSD SCHOOL BOARD 2020,5400,13,2665000,179
AR03279095930065780737,"YES ON 805, INC.",15000,13,957000,187
AR03283599529693151233,REP DANIEL WEBSTER - U.S. HOUSE OF REPRESENTATIVES,11100,136,1800000,15680
AR03284946706315083777,LET AMERICA VOTE PAC AND NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,10000,111,3550000,171
AR03288103129320521729,FILLA LIFE MEDIA LLC,300,2,6000,106
AR03293879963412856833,Committee to Elect Brenden Long,100,2,2000,5
AR03296265903645130753,GINA ORTIZ JONES FOR CONGRESS,17100,40,575000,2149
AR03301613928202633217,WENSTRUP FOR CONGRESS,62700,21,3011000,796
AR03306117527830003713,COMMITTEE TO PROTECT MEDICARE AND THE ACA,4400,4,15000,106
AR03307045790521753601,SHELLEY BARINEAU CAMPAIGN,2500,4,35000,123
AR03310621127457374209,HILTON MULTIMEDIA,112100,44,7068000,295
AR03320618986688741377,FRIENDS OF AMY SPIEKER,2400,1,90000,12
AR03322382878217601025,JOBS FOR EVERYDAY OREGONIANS PAC,8400,2,525000,28
AR03324131926339485697,NEW MORAL MAJORITY,4100,11,463000,49
AR03325317749630042113,Whitaker Campaign 22,5100,1,80000,7
AR03328635525966856193,KRISTEN FOR NY 93,5000,7,564000,76
AR03332294700664094721,CAMPAIGN PRECISION LLC,110400,1142,26932000,19944
AR03333139125594226689,BEN SCHWANKE,6200,44,1430000,505
AR03336835683686809601,ANN KAUFMAN,5100,2,35000,68
AR03337642725221597185,JOHN ROSE FOR TENNESSEE,22300,33,631000,430
AR03339144108349325313,COMMITTEE TO ELECT ALAN GRAYSON,100,1,1000,4
AR03340422290616614913,HARWELL FOR CONGRESS,1700,1,1000,8
AR03342146324848967681,CAMPAIGN FOR AMERICAN PRINCIPLES,77600,102,7569000,802
AR03346649924476338177,OSMAN VOLUNTEER COMMITTEE,1600,3,6000,64
AR03351153524103708673,NEA ADVOCACY FUND,33100,2,1265000,2
AR03353405323917393921,BAILEY FOR ILLINOIS,48000,33,5131000,843
AR03355657123731079169,COMMITTEE TO ELECT DAN TAXATION IS THEFT BEHRMAN,8700,28,2792000,933
AR03360160723358449665,NATIONAL CABLE SATELLITE CORPORATION,51700,34,4992000,4077
AR03361789374957092865,EMILY SIEGRIST FOR WISCONSIN,15900,19,274000,190
AR03364664322985820161,"ASIAN AMERICAN ADVOCACY FUND, INC",6900,3,1791000,160
AR03368323497683058689,PERRY GERSHON FOR CONGRESS,38500,53,3458000,257
AR03369167922613190657,THOMAS M. SHERMAN,600,5,8000,25
AR03376288634792574977,Kesha For Vermont,4400,2,9000,101
AR03380929673373417473,FAIR DISTRICTS,6700,1,15000,47
AR03382678721495302145,BENJAMIN 2021,26400,5,2335000,78
AR03386337896192540673,NATIONAL SECURITY ACTION,130400,23,9980000,350
AR03387182321122672641,FOUR MORE YEARS PAC,135600,53,1775000,2196
AR03389434120936357889,GARRETT FOR MICHIGAN,5600,1,30000,30
AR03391685920750043137,ALEXANDRA OWENSBY FOR THE PEOPLE,4700,52,145000,1265
AR03399220873935192065,JAY CHEN FOR CONGRESS,2900,1,4000,45
AR03399932532836270081,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,17800,5,324000,60
AR03404352294702022657,RUFUS GIFFORD FOR CONGRESS,7200,27,295000,549
AR03405196719632154625,"WOMEN'S MARCH, INC",2500,2,3000,8
AR03409700319259525121,NALU MEDIA LLC,400,2,27000,14
AR03413359493956763649,CATHY MCMORRIS RODGERS FOR CONGRESS,33100,189,2668000,4010
AR03413700342561374209,Miles Himmel,2400,16,317000,110
AR03418707518514266113,KANSAS DEMOCRATIC PARTY,23800,3,91000,70
AR03419352382083956737,ENGEL FOR ARIZONA,14700,4,395000,38
AR03419979653467602945,Anthony Caleb Pirc,5200,2,14000,9
AR03422366693211504641,BUILD THE WALL POLITICAL ACTION COMMITTEE,5100,4,11000,8
AR03423211118141636609,DIEDRE THU-HA NGUYEN FOR ASSEMBLY 2020,7800,4,275000,168
